Product Name,Product Description ,Manufacturer Name,SKU/Item Number ,MFG Sku ),Color Size Sku,Size Code,Weight (oz),Color 1 Name,Color 2 Name,Color 1 Hex Value,Color 2 Hex Value,Supplier Name ,Customer Price ,GTIN/UPC Code,Search Tags,Front Image,Back Image,Third Image,Fourth Image,Pre-Decorated Item,Max Imprint Colors,Minimum Per Order
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HHXL,A06,4.1552,ATHLETIC ROYAL HEATHER,,#00528C,,DELTA APPAREL,2.64,027362012687,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HHX.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HHXXL,A07,4.7728,ATHLETIC ROYAL HEATHER,,#00528C,,DELTA APPAREL,2.64,027362012717,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HHX.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HMTXS,A03,3.0976,ATHLETIC OXFORD,,#A09EA4,,DELTA APPAREL,2.64,027362012779,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HMT.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HMTS,A04,3.4528,ATHLETIC OXFORD,,#A09EA4,,DELTA APPAREL,2.64,027362012755,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HMT.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HMTM,A05,3.8848,ATHLETIC OXFORD,,#A09EA4,,DELTA APPAREL,2.64,027362012748,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HMT.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HMTL,A06,4.1552,ATHLETIC OXFORD,,#A09EA4,,DELTA APPAREL,2.64,027362012731,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HMT.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HMTXL,A07,4.7728,ATHLETIC OXFORD,,#A09EA4,,DELTA APPAREL,2.64,027362012762,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HMT.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009N80XS,A03,3.0976,WHITE,,#E7E6E7,,DELTA APPAREL,2.64,027362012823,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009N80.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009N80S,A04,3.4528,WHITE,,#E7E6E7,,DELTA APPAREL,2.64,027362012809,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009N80.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009N80M,A05,3.8848,WHITE,,#E7E6E7,,DELTA APPAREL,2.64,027362012793,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009N80.png,,,,,,
